Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.11;[2.20,1.42,0.14]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.76;P8[5.90,10.00,0.00]=9.10;[2.17,1.50,-0.02]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.29;[2.17,1.52,-0.18]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.64;P8[5.90,10.00,0.00]=9.18;[2.19,1.48,-0.10]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.25;[2.21,1.44,0.10]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.13;[2.21,1.44,0.15]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.05;[2.20,1.44,0.33]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.17;[2.21,1.43,0.36]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.63;P8[5.90,10.00,0.00]=9.23;[2.22,1.40,0.40]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.64;P8[5.90,10.00,0.00]=9.19;[2.22,1.39,0.41]
P1[0.00,0.00,0.00]=2.39;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.15;[2.21,1.38,0.50]
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.07;[2.20,1.39,0.55]
P1[0.00,0.00,0.00]=2.39;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.21;[2.20,1.36,0.62]
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.18;[2.19,1.42,0.37]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.27;[2.20,1.39,0.45]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.09;[2.18,1.49,0.17]
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.09;[2.19,1.46,0.28]
P1[0.00,0.00,0.00]=2.42;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.23;[2.19,1.43,0.31]
