Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.45;P8[5.90,10.00,0.00]=9.10;[2.38,1.34,0.78]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.61;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.11;[2.36,1.34,0.82]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.06;[2.36,1.36,0.83]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.10;[2.35,1.35,0.82]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=8.99;[2.34,1.38,0.79]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=9.19;[2.33,1.35,0.81]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.07;[2.31,1.36,0.81]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.14;[2.31,1.35,0.81]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.05;[2.31,1.36,0.81]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=8.96;[2.32,1.39,0.74]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.09;[2.31,1.39,0.78]
