Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.45;P8[5.90,10.00,0.00]=9.09;[2.6, 1.48, 0.0]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.46;P8[5.90,10.00,0.00]=9.16;[2.58, 1.42, 0.0]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.24;[2.57, 1.35, 0.0]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.14;[2.59, 1.43, 0.0]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.46;P8[5.90,10.00,0.00]=9.16;[2.59, 1.42, -0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.11;[2.56, 1.48, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.15;[2.58, 1.43, -0.0]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.16;[2.58, 1.42, 0.0]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.17;[2.6, 1.4, 0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.15;[2.57, 1.43, -0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.10;[2.56, 1.49, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.00;[2.62, 1.56, 0.0]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.09;[2.58, 1.49, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.49;null;[2.55, 0.92, 0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.12;[2.54, 1.48, 0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=8.98;[2.62, 1.58, 0.0]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.14;[2.6, 1.43, 0.0]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=9.13;[2.56, 1.47, 0.0]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.12;[2.56, 1.47, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.07;[2.57, 1.52, 0.0]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.61;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.11;[2.61, 1.46, 0.0]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=8.98;[2.61, 1.6, -0.0]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=8.98;[2.63, 1.58, 0.0]
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.40;P8[5.90,10.00,0.00]=9.10;[2.65, 1.45, 0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.07;[2.63, 1.49, -0.0]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.09;[2.61, 1.48, 0.0]
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.41;P8[5.90,10.00,0.00]=9.09;[2.64, 1.47, 0.0]
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.45;P8[5.90,10.00,0.00]=9.10;[2.61, 1.47, 0.0]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.61;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.11;[2.56, 1.48, -0.0]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.06;[2.56, 1.53, 0.0]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.10;[2.57, 1.49, 0.0]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=8.99;[2.57, 1.59, 0.0]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=9.19;[2.54, 1.41, 0.0]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.07;[2.51, 1.55, 0.0]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.14;[2.58, 1.45, 0.0]
